File Name,Company Name,Address,Phone Number,Currency Type,Total Amount,Item Description,Payment Terms
cab receipt.png,Yellow Cab NYC,"New York, NY","Address: New York, NY",$,,,
east_receipt.jpg,,,,,,,
fast-food-juice-bakery-receipt.png,JUICE STATION,"232323 Lake Ave, Salt Lake Town, UT, 23233",888-888-(8888),$,,,[No information provided]
fast-food-restaurant-template-with-itemized-food-and-tax.png,Fish & Chips Fast Foods,"2334, Fish and Chips Street, New Hill, SC, 34566-454646",888-888-8888,â‚¬,,,Visa 2277
IC-Basic-Receipt-Template.png,Your Company Name,"123 Main Street, Hamilton, OH 44416",(321) 456-7890,$,,,[No payment terms specified on receipt]
magicpay.jpeg,"MagicPay Merchant Services, LLC.","1616 NW 2nd Ave, Boca Raton, FL 33432",None,,,,"CASH SALE, Cash tendered, Station: Demo Terminal"
photography-invoice-template-black-white-en.jpg,,,,,,,
receipt-template-us-classic-white-750px.png,,"1912 Harvest Lane, New York, NY 12210",,,,,
restaurant.jpg,HARBOR LANE CAFE,"3941 GREEN OAKS BLVD CHICAGO, IL","Address: 3941 GREEN OAKS BLVD CHICAGO, IL",$,,,
Word_Receipt_Example.jpg,ABC Furniture Co,"101 Tree Street, Leafy Vale, Forrest Town X1203Y",,$,,,
